Product_name,Price,Rating,Description
Apple MacBook Air,139990.0,5.0,Processor: Apple M4 | RAM: Unknown | Memory: Unknown | Operating System: Macos | Storage: Unknown | Battery Life: up to 18 hours
HP 240R G9 i3,34950.0,3.7,Processor: Intel Core i3-1315U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
Lenovo IdeaPad Slim i,63390.0,4.0,Processor: Intel Core i7-13620H | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
Lenovo IdeaPad i,33900.0,4.1,Processor: 12th Gen Intel Core i3-1215U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Lenovo LOQ Ryzen 7 39.6cm,80990.0,4.4,Processor: AMD Ryzen 7 7435HS | RAM: 32GB DDR5-4800 | Memory: Unknown | Operating System: Unknown | Storage: 512GB SSD | Battery Life: Unknown
Dell Latitude,27716.0,2.8,Processor: Intel Core i3 | RAM: 8GB DDR4 | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: up to 6 hours
Lenovo Yoga Core Ultra,75900.0,3.7,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Lenovo IdeaPad Slim Celeron,23790.0,3.7,Processor: Unknown | RAM: 8GB DDR4-2400 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Lenovo IdeaPad Slim i,36990.0,4.1,Processor: 13th Gen Intel Core i3-1305U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
ASUS ProArt,159990.0,5.0,Processor: Unknown | RAM: 24GB LPDDR5X | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
HP OmniBook 40.6cm,87990.0,5.0,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: up to 14 hours
Lenovo V15 Ryzen 7,42990.0,4.0,Processor: AMD Ryzen 7 7730U | RAM: 16GB DDR4 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
HP 14 AI Core Ultra 7 35.6cm,79990.0,3.1,Processor: Unknown | RAM: 16GB DDR5 | Memory: Unknown | Operating System: Unknown | Storage: 512GB PCIe | Battery Life: up to 8 hours
Lenovo LOQ i7 39.6cm,99990.0,3.7,Processor: Intel Core i7-13650HX | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: 512GB SSD | Battery Life: Unknown
